Date,Open,High,Low,Adj Close,Volume,Close
2023-04-06,19.02033117793729,19.02033117793729,18.846231375624487,18.88975715637207,27922105,18.88975715637207
2023-04-07,18.88975715637207,18.976805397189704,18.846231375624487,18.88975715637207,14732745,18.88975715637207
2023-04-10,18.88975649550416,19.02033051250118,18.846230716279347,18.976804733276367,11957826,18.976804733276367
2023-04-11,18.846230633618926,19.02033042907715,18.846230633618926,19.02033042907715,27666088,19.02033042907715
2023-04-12,19.020329690428714,19.150903701782227,18.976803913085117,19.150903701782227,20700998,19.150903701782227
2023-04-13,19.194430129983537,19.455579844474173,19.194430129983537,19.41205406188965,26528971,19.41205406188965
2023-04-14,19.41205322821204,19.586153030395508,19.325004987459074,19.586153030395508,19797696,19.586153030395508
2023-04-17,19.586153030395508,19.629677150771993,19.499103129303773,19.586153030395508,21285264,19.586153030395508
2023-04-18,19.586153449095207,19.586153449095207,19.455579424835662,19.499103546142578,12892535,19.499103546142578
2023-04-19,19.542631149291992,19.586155274655646,19.499105363589386,19.542631149291992,15726252,19.542631149291992
2023-04-20,19.455577850341797,19.499101968126407,19.36852795443391,19.455577850341797,10507414,19.455577850341797
2023-04-21,19.455579844474173,19.49910396671986,19.325005817398274,19.41205406188965,16516810,19.41205406188965
2023-04-24,19.36853132715947,19.586155274655646,19.32500720179582,19.542631149291992,11964716,19.542631149291992
2023-04-25,19.542627746249682,19.629675981818902,19.412052072218522,19.455577850341797,19484257,19.455577850341797
2023-04-26,19.455581238225733,19.542631149291992,19.412055452523123,19.542631149291992,19395521,19.542631149291992
2023-04-27,19.54262932778829,19.586153449095207,19.41205364318995,19.499103546142578,17827522,19.499103546142578
2023-04-28,19.542630390636113,19.67320442199707,19.412054698936267,19.67320442199707,22672472,19.67320442199707
2023-05-02,19.847301066346134,19.934350967407227,19.760252825623805,19.934350967407227,33330651,19.934350967407227
2023-05-03,19.89082676251685,20.021400783384212,19.803776861825686,19.977876663208008,26432070,19.977876663208008
2023-05-04,19.97787591990391,20.151974054469914,19.890826022451556,20.108449935913086,21531649,20.108449935913086
2023-05-05,20.108450019188084,20.151974137925155,20.021400121375233,20.064924240112305,18255071,20.064924240112305
2023-05-08,20.151974798883778,20.326074600219727,20.10845067871917,20.326074600219727,28653094,20.326074600219727
2023-05-09,20.326074685104082,20.36959880545045,20.195500663726204,20.282548904418945,16263213,20.282548904418945
2023-05-10,20.326074685104082,20.326074685104082,20.15197488304107,20.282548904418945,18374497,20.282548904418945
2023-05-11,20.282548904418945,20.326074685104082,20.195500663726204,20.282548904418945,19658735,20.282548904418945
2023-05-12,20.326073849374616,20.326073849374616,20.108449935913086,20.108449935913086,21948336,20.108449935913086
2023-05-15,20.10845067871917,20.369598720384335,20.021400778051195,20.326074600219727,21384072,20.326074600219727
2023-05-16,20.456649446804086,20.500173568725586,20.36959954262226,20.500173568725586,33863676,20.500173568725586
2023-05-17,20.456648288266745,20.891896124187312,20.456648288266745,20.717796325683594,58987570,20.717796325683594
2023-05-18,20.804846881790578,21.022470806621733,20.76132276095986,20.978946685791016,42628650,20.978946685791016
2023-05-19,21.06599699155131,21.240095138549805,21.022471209547575,21.240095138549805,39101794,21.240095138549805
2023-05-22,21.24009249482504,21.501242173326066,21.196568378577506,21.37066650390625,35285806,21.37066650390625
2023-05-23,21.370668326756913,21.501244007314423,21.196570186578146,21.414194107055664,30439781,21.414194107055664
2023-05-24,21.327144622802734,21.370668743611716,21.109520698080257,21.327144622802734,22234626,21.327144622802734
